Year,City,Sport,Athlete,Country,Gender,Event,Medal,,,,,,,,,,
1984,Sarajevo,Skating,"KITAZAWA, Yoshihiro",JPN,Men,500M,Silver,,,,,,,,,,
1988,Calgary,Skating,"KUROIWA, Akira",JPN,Men,500M,Bronze,,,,,,,,,,
1992,Albertville,Skating,"AKASAKA, Yuichi",JPN,Men,5000M Relay,Bronze,,,,,,,,,,
1992,Albertville,Skating,"ISHIHARA, Tatsuyoshi",JPN,Men,5000M Relay,Bronze,,,,,,,,,,
1992,Albertville,Skating,"KAWAI, Toshinobu",JPN,Men,5000M Relay,Bronze,,,,,,,,,,
1992,Albertville,Skating,"KAWASAKI, Tsutomu",JPN,Men,5000M Relay,Bronze,,,,,,,,,,
1992,Albertville,Skating,"MIYABE, Yukinori",JPN,Men,1000M,Bronze,,,,,,,,,,
1992,Albertville,Skating,"HASHIMOTO, Seiko",JPN,Women,1500M,Bronze,,,,,,,,,,
1992,Albertville,Skating,"INOUE, Junichi",JPN,Men,500M,Bronze,,,,,,,,,,
1992,Albertville,Skating,"ITO, Midori",JPN,Women,Individual,Silver,,,,,,,,,,
1992,Albertville,Skating,"KUROIWA, Toshiyuki",JPN,Men,500M,Silver,,,,,,,,,,
1994,Lillehammer,Skating,"YAMAMOTO, Hiromi",JPN,Women,5000M,Bronze,,,,,,,,,,
1994,Lillehammer,Skating,"HORII, Manabu",JPN,Men,500M,Bronze,,,,,,,,,,
1998,Nagano,Skating,"UEMATSU, Hitoshi",JPN,Men,500M,Bronze,,,,,,,,,,
1998,Nagano,Skating,"SHIMIZU, Hiroyasu",JPN,Men,1000M,Bronze,,,,,,,,,,
1998,Nagano,Skating,"OKAZAKI, Tomomi",JPN,Women,500M,Bronze,,,,,,,,,,
1998,Nagano,Skating,"NISHITANI, Takafumi",JPN,Men,500M,Gold,,,,,,,,,,
1998,Nagano,Skating,"SHIMIZU, Hiroyasu",JPN,Men,500M,Gold,,,,,,,,,,
2002,Salt Lake City,Skating,"SHIMIZU, Hiroyasu",JPN,Men,500M,Silver,,,,,,,,,,
2006,Turin,Skating,"ARAKAWA, Shizuka",JPN,Women,Individual,Gold,,,,,,,,,,
2010,Vancouver,Skating,"TAKAHASHI, Daisuke",JPN,Men,Individual,Bronze,,,,,,,,,,
2010,Vancouver,Skating,"KATO, Joji",JPN,Men,500M,Bronze,,,,,,,,,,
2010,Vancouver,Skating,"ASADA, Mao",JPN,Women,Individual,Silver,,,,,,,,,,
2010,Vancouver,Skating,"NAGASHIMA, Keiichiro",JPN,Men,500M,Silver,,,,,,,,,,
2010,Vancouver,Skating,"HOZUMI, Masako",JPN,Women,Team Pursuit,Silver,,,,,,,,,,
2010,Vancouver,Skating,"KODAIRA, Nao",JPN,Women,Team Pursuit,Silver,,,,,,,,,,
2010,Vancouver,Skating,"TABATA, Maki",JPN,Women,Team Pursuit,Silver,,,,,,,,,,
2014,Sochi,Skating,"HANYU, Yuzuru",JPN,Men,Individual,Gold,,,,,,,,,,
