Year,City,Sport,Athlete,Country,Gender,Event,Medal,,,,,,,,,,,,,,,,,,
1992,Albertville,Skating,"HASHIMOTO, Seiko",JPN,Women,1500M,Bronze,,,,,,,,,,,,,,,,,,
1992,Albertville,Skating,"ITO, Midori",JPN,Women,Individual,Silver,,,,,,,,,,,,,,,,,,
1994,Lillehammer,Skating,"YAMAMOTO, Hiromi",JPN,Women,5000M,Bronze,,,,,,,,,,,,,,,,,,
1998,Nagano,Skating,"OKAZAKI, Tomomi",JPN,Women,500M,Bronze,,,,,,,,,,,,,,,,,,
1998,Nagano,Skiing,"SATOYA, Tae",JPN,Women,Moguls,Gold,,,,,,,,,,,,,,,,,,
2002,Salt Lake City,Skiing,"SATOYA, Tae",JPN,Women,Moguls,Bronze,,,,,,,,,,,,,,,,,,
2006,Turin,Skating,"ARAKAWA, Shizuka",JPN,Women,Individual,Gold,,,,,,,,,,,,,,,,,,
2010,Vancouver,Skating,"ASADA, Mao",JPN,Women,Individual,Silver,,,,,,,,,,,,,,,,,,
2010,Vancouver,Skating,"HOZUMI, Masako",JPN,Women,Team Pursuit,Silver,,,,,,,,,,,,,,,,,,
2010,Vancouver,Skating,"KODAIRA, Nao",JPN,Women,Team Pursuit,Silver,,,,,,,,,,,,,,,,,,
2010,Vancouver,Skating,"TABATA, Maki",JPN,Women,Team Pursuit,Silver,,,,,,,,,,,,,,,,,,
2014,Sochi,Skiing,"ONOZUKA, Ayana",JPN,Women,Ski Halfpipe,Bronze,,,,,,,,,,,,,,,,,,
2014,Sochi,Skiing,"TAKEUCHI, Tomoka",JPN,Women,Giant Parall.S.,Silver,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
